Paper	Area	Lat domain	LAT	LONG	Water depth	Stations/Facies	Molluscs	Symbiont bearing colonial corals	RCA	Foraminifera	Halimeda	Echinoderms	Sessile benthic filter feeders (Non symbiont bearing corals+Sponges+Bryozoans+Serpulids+Crinoids+Barnacles+Brachiopods)	Mobile Arthropoda (Ostracod+Artropods+Decapods)	Bioclasts 	Non Skelatel	Total	Molluscs	Symbiont bearing colonial corals	RCA	Foraminifera	Halimeda	Echinoderms	Sessile benthic filter feeders (Non symbiont bearing corals+Sponges+Bryozoans+Serpulids+Crinoids+Barnacles+Brachiopods)	Mobile Arthropoda (Ostracod+Artropods+Decapods)	Bioclasts 	Non Skelatel	
Holocene cemented beach deposition in Belize Gischler 1996	Belize 	Tropic	17.311	-87.801	0.0	Blackbird Cay	7.5	10	3.1	28.7	16.2	0	0	0	0	0	65.5	11.4503816793893	15.2671755725191	4.73282442748092	43.8167938931298	24.7328244274809	0	0	0	0	0	100
Holocene cemented beach deposition in Belize Gischler 1996	Belize 	Tropic	17.000	-88.000	0.0	Harry Jones Pt.	4.8	19.5	13.9	11.1	22.3	0	0	0	0	0	71.6	6.70391061452514	27.2346368715084	19.4134078212291	15.5027932960894	31.145251396648	0	0	0	0	0	100
Holocene cemented beach deposition in Belize Gischler 1996	Belize 	Tropic	17.166	-87.903	0.0	Cay Bokel	10.4	19.6	4.9	9.8	20.8	0	0	0	0	0	65.5	15.8778625954198	29.9236641221374	7.48091603053435	14.9618320610687	31.7557251908397	0	0	0	0	0	100
Holocene cemented beach deposition in Belize Gischler 1996	Belize 	Tropic	22.591	-74.343	0.0	Long Cay	10.7	35.9	7.1	0.7	16.5	0	0	0	0	0	70.9	15.0916784203103	50.6346967559944	10.0141043723554	0.987306064880113	23.2722143864598	0	0	0	0	0	100
Holocene cemented beach deposition in Belize Gischler 1996	Belize 	Subtropic	24.571	-75.929	0.0	Halfmoon. windward	9.8	40.1	21.6	3	5.5	0	0	0	0	0	80	12.25	50.125	27	3.75	6.875	0	0	0	0	0	100
Holocene cemented beach deposition in Belize Gischler 1996	Belize 	Subtropic	24.571	-75.929	0.0	Halfmoon. Leeward	9.3	43.7	18.7	3.1	11.2	0	0	0	0	0	86	10.8139534883721	50.8139534883721	21.7441860465116	3.6046511627907	13.0232558139535	0	0	0	0	0	100
Heterozoan carbonates from the equatorial rocky reefs of the Galàpagos Archipelago Reymond 2016	Galapagos	Tropic	0.300	-91.800	10.5	Far North	25.5	10.9	5.7	0	0	1.8	24.6	0	3.9	0	72.4	35.2209944751381	15.0552486187845	7.87292817679558	0	0	2.48618784530387	33.9779005524862	0	5.38674033149171	0	100
Heterozoan carbonates from the equatorial rocky reefs of the Galàpagos Archipelago Reymond 2016	Galapagos	Tropic	0.500	-89.700	10.5	North	21	7.1	15.7	0	0	9.1	37.7	0	6.7	0	97.3	21.5827338129496	7.29701952723535	16.1356628982528	0	0	9.35251798561151	38.7461459403905	0	6.88591983556012	0	100
Heterozoan carbonates from the equatorial rocky reefs of the Galàpagos Archipelago Reymond 2016	Galapagos	Tropic	-1.200	-89.400	10.5	Central East	25.2	6	18.7	0	0	9.9	29.6	0	5.5	0	94.9	26.5542676501581	6.32244467860906	19.7049525816649	0	0	10.432033719705	31.190727081138	0	5.79557428872497	0	100
Heterozoan carbonates from the equatorial rocky reefs of the Galàpagos Archipelago Reymond 2016	Galapagos	Tropic	-1.200	-91.900	10.5	West	19.7	0.3	5.8	0	0	9	44.7	0	3.9	0	83.4	23.621103117506	0.359712230215827	6.95443645083933	0	0	10.7913669064748	53.5971223021583	0	4.67625899280576	0	100
