,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,LONG,LAT,Water depth,Stations/Facies,SSTmin_K,SSTavg_K,SSTmax_K,SSTJan_K,SSTFeb_K,SSTMar_K,SSTApr_K,SSTMay_K,SSTJun_K,SSTJul_K,SSTAug_K,SSTSep_K,SSTOct_K,SSTNov_K,SSTDec_K,Chlamin_mg_m-3,Chlaavg_mg_m-3,Chlamax_mg_m-3,ChlaJan_mg_m-3,ChlaFeb_mg_m-3,ChlaMar_mg_m-3,ChlaApr_mg_m-3,ChlaMay_mg_m-3,ChlaJun_mg_m-3,ChlaJul_mg_m-3,ChlaAug_mg_m-3,ChlaSep_mg_m-3,ChlaOct_mg_m-3,ChlaNov_mg_m-3,ChlaDec_mg_m-3
1,-151.8,-16.5,10.0,BB14,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
2,-151.8,-16.5,0.5,BB19,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
3,-151.8,-16.5,3.0,BB28,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
4,-151.8,-16.5,13.0,BB1,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
5,-151.8,-16.5,22.0,BB2,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
6,-151.8,-16.5,26.0,BB29,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
7,-151.8,-16.5,28.0,BB4,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
8,-151.8,-16.5,48.0,BB9,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
9,-151.8,-16.5,26.0,BB12,299.36602783203125,301.01283899943036,302.7432861328125,301.5875295003255,301.6728973388672,301.8164367675781,302.01365661621094,301.6402333577474,300.9449971516927,300.3043263753255,299.82355244954425,299.7605438232422,300.07790120442706,300.90956115722656,301.60243225097656,0.10693822056055069,0.36348008302350837,0.6130615472793579,0.36561953897277516,0.36581751455863315,0.38914738098780316,0.34061189740896225,0.3357136957347393,0.27880969891945523,0.33660583446423215,0.3678341607252757,0.31833524629473686,0.46300047387679416,0.4212614856660366,0.379004068672657
