,0
238,17C_at_91.0
239,18C_at_92.0
240,19C_at_122.0
241,20C_at_182.0
242,21C_at_211.0
243,22C_at_91.0
244,23C_at_98.0
245,24C_at_53.0
246,25C_at_93.0
247,26C_at_96.0
248,27C_at_137.0
249,28C_at_129.0
250,Type 1_at_11.0
251,Type 2_at_5.0
252,Type 3_at_1.0
253,Type 4_at_5.0
254,Type 5_at_8.0
255,Alcyonarian--Terrigeneous facies_at_35.0
256,Foraminiferal facies_at_25.0
257,Coral--coralline algal facies_at_2.0
258,Coral—molluscan facies_at_1.0
259,Coral—terrigeneous facies_at_1.0
260,Framework cavity deposits_at_7.0
261,Rhodolith pavement deposits_at_14.0
262,mbt1_1_at_2.0
263,mbt1_2_at_2.0
264,mbt1_3_at_2.0
265,mbt1_4_at_2.0
266,mbt1_5_at_2.0
267,mbt1_6_at_2.0
268,mbt2_1_at_2.0
269,mbt2_2_at_2.0
270,mbt2_3_at_2.0
271,mbt2_4_at_2.0
272,mbt2_5_at_2.0
273,mbt2_6_at_2.0
274,mbt2_7_at_2.0
275,mbt2_8_at_2.0
276,mkt1_1_at_2.0
277,mkt1_2_at_2.0
278,mkt1_3_at_2.0
279,mkt1_4_at_2.0
280,mkt1_5_at_2.0
281,mkt2_1_at_2.0
282,mkt2_2_at_2.0
283,mkt2_3_at_2.0
284,mkt2_4_at_2.0
285,mkt2_5_at_2.0
286,kjt1_1_at_2.0
287,kjt1_2_at_2.0
288,kjt1_3_at_2.0
289,kjt1_4_at_2.0
290,kjt1_5_at_2.0
291,kjt2_1_at_2.0
292,kjt2_2_at_2.0
293,kjt2_3_at_2.0
294,kjt2_4_at_2.0
295,kjt2_5_at_2.0
296,kjt3_1_at_2.0
297,kjt3_2_at_7.0
298,kjt3_3_at_7.0
299,kjt3_4_at_7.0
300,kjt4_1_at_2.0
301,kjt4_2_at_2.0
302,kjt4_3_at_2.0
303,kjt5_1_at_2.0
304,kjt5_2_at_2.0
305,kjt5_3_at_2.0
306,kjt5_4_at_7.0
307,kjt5_5_at_7.0
308,kjt5_6_at_13.0
309,kjt5_7_at_13.0
310,kjt5_8_at_13.0
311,KL7_at_3.0
312,KL11_at_3.0
313,KL47_at_3.0
314,KL49_at_3.0
315,KL55_at_3.0
316,KL60_at_3.0
317,KL71_at_3.0
318,KL80_at_3.0
319,KL100_at_3.0
320,KL101_at_3.0
321,KL107_at_3.0
322,KL110_at_3.0
323,KL124_at_3.0
324,KL127_at_3.0
325,KL130_at_3.0
326,KL142_at_3.0
327,KL146_at_3.0
328,KL152_at_3.0
329,KL160_at_3.0
330,KL165_at_3.0
331,KL181_at_3.0
332,KL193_at_3.0
333,KL194_at_3.0
334,KL198_at_3.0
335,KL207_at_3.0
336,KL211_at_3.0
337,KL228_at_3.0
338,KL237_at_3.0
339,KL282_at_3.0
340,KL296_at_3.0
341,KP161_at_5.0
342,KP162_at_5.0
343,KP164_at_5.0
344,KP165_at_5.0
345,KP166_at_5.0
346,KP168_at_5.0
347,KP169_at_5.0
348,KP170_at_5.0
349,KP171_at_5.0
350,KP172_at_5.0
351,KP173_at_5.0
352,KP176_at_5.0
353,KP177_at_5.0
354,KP178_at_5.0
355,KP179_at_5.0
356,KP180_at_5.0
357,KP182_at_5.0
358,KP183_at_5.0
359,KP184_at_5.0
360,KP185_at_5.0
361,KP186_at_5.0
362,KP187_at_5.0
363,KP188_at_5.0
364,KP189_at_5.0
365,KP191_at_5.0
366,KP193_at_5.0
367,KP195_at_5.0
368,KP200_at_5.0
369,ST1_at_12.5
370,ST2_at_12.5
371,451.2_at_39.0
372,450.2_at_75.0
373,449.4_at_149.0
374,420_at_76.0
375,433.1_at_43.0
376,421_at_84.0
377,422_at_106.0
378,512_at_298.0
379,423_at_178.0
380,434.2_at_81.0
381,429.3_at_102.0
382,430.3_at_80.0
383,431.2_at_61.0
384,coastal zone_at_2.0
385,reef platform/patch reefs_at_12.0
386,central channel_at_25.0
387,Barnacle Gravel_at_500.0
388,Bryozoan Gravel and Variably Muddy Sand_at_800.0
389,Stylasterine Gravel and Sand_at_480.0
390,Microbioclastic Sand_at_350.0
391,Pelagic Muddy Sand_at_700.0
392,1_at_9.0
393,2_at_9.0
394,3_at_9.0
395,4_at_9.0
396,5_at_9.0
397,6_at_9.0
